Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"Main Statistical Area Structure (Main ASGS) (UR) by SA2 (POW) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

" UR - Sydney (SA2)"
"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"Pendle Hill - Girraween",221,67,0,5,16,3950,330,67,26,15,93,22,133,289,62,0,5298,
"Wentworthville - Westmead",242,65,0,0,8,1660,161,20,9,4,117,12,166,240,27,0,2729,
"Epping - North Epping",606,106,5,0,7,2573,163,26,13,11,203,13,526,413,28,0,4683,
"Pennant Hills - Cheltenham",485,61,0,0,4,3282,203,28,10,11,182,32,521,519,34,0,5392,
"Eastwood - Denistone",574,132,0,0,9,3190,235,35,13,7,385,35,420,519,46,0,5605,
"Gladesville - Huntleys Point",295,355,10,3,8,3974,233,41,45,25,177,27,352,464,45,0,6057,
"Hunters Hill - Woolwich",99,100,8,0,7,1809,107,22,10,14,102,9,293,299,26,0,2904,
"Macquarie Park - Marsfield",7340,3613,22,16,123,26813,1456,47,492,367,1143,156,1077,2803,308,0,45782,
"North Ryde - East Ryde",1673,470,9,0,34,7297,295,22,83,75,147,54,473,661,97,0,11385,
"West Ryde - Meadowbank",555,158,6,3,9,3299,217,38,27,13,265,21,263,415,40,0,5322,
"Putney",15,16,0,0,0,328,27,6,0,4,23,3,111,41,4,0,559,
"Ryde",416,410,4,0,11,4479,309,46,46,23,329,39,419,716,60,0,7313,
"Ashcroft - Busby - Miller",27,17,3,0,0,1178,64,15,8,3,23,7,68,112,16,0,1545,
"Austral - Greendale",25,3,0,0,0,2052,128,148,7,0,123,25,423,171,47,0,3159,
"Cobbitty - Leppington",37,21,0,0,0,2910,218,128,10,3,86,24,404,278,65,0,4197,
"Badgerys Creek",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,
